"station_name" "lat" "lng"
"172" "內湖站出口1" "121.444173" "24.973251"
"173" "內湖站出口2" "121.443671" "24.972663"
"174" "七張站出口1" "121.445266" "24.973714"
"175" "七張站出口2" "121.448615" "24.985375"
"176" "奇岩站出口" "121.448956" "24.985329"
"177" "唭哩岸站出口1" "121.449127" "24.98609"
"178" "唭哩岸站出口2" "121.452581" "24.998933"
"179" "三和國中站出口1" "121.452388" "24.998252"
"180" "三和國中站出口2" "121.45287" "24.998875"
"181" "三民高中站出口1" "121.459077" "25.008486"
"182" "三民高中站出口2" "121.459501" "25.008943"
"183" "三重國小站出口" "121.45897" "25.009162"
"184" "三重站出口1" "121.461754" "25.013416"
"185" "三重站出口2" "121.462483" "25.013192"
"186" "三重站出口3" "121.462589" "25.014554"
"187" "善導寺站出口1" "121.467457" "25.023063"
"188" "善導寺站出口2" "121.468176" "25.0222"
"189" "善導寺站出口3" "121.468574" "25.022844"
"190" "善導寺站出口4" "121.468728" "25.023638"
"191" "善導寺站出口5" "121.468138" "25.024163"
"192" "善導寺站出口6" "121.471914" "25.030298"
"193" "石牌站出口1" "121.471903" "25.029782"
"194" "石牌站出口2" "121.472156" "25.029459"
"195" "士林站出口1" "121.472719" "25.029763"
"196" "士林站出口2" "121.473609" "25.031027"
"197" "市政府站出口1" "121.473126" "25.031095"
"198" "市政府站出口2" "121.49953" "25.035484"
"199" "市政府站出口3" "121.499798" "25.035109"
"200" "市政府站出口4" "121.501622" "25.035421"
"201" "雙連站出口1" "121.523009" "25.045097"
"202" "雙連站出口2" "121.523053" "25.044796"
"203" "松江南京站出口1" "121.523734" "25.044568"
"204" "松江南京站出口2" "121.524217" "25.044111"
"205" "松江南京站出口3" "121.52482" "25.044256"
"206" "松江南京站出口4" "121.524898" "25.044632"
"207" "松江南京站出口5" "121.532065" "25.042103"
"208" "松江南京站出口6" "121.53368" "25.041783"
"209" "松江南京站出口7" "121.533213" "25.042458"
"210" "松江南京站出口8" "121.531829" "25.042784"
"211" "松山機場站出口1" "121.532232" "25.041214"
"212" "松山機場站出口2" "121.533068" "25.040791"
"213" "松山機場站出口3" "121.533068" "25.041729"
"214" "松山站出口1" "121.550578" "25.041642"
"215" "松山站出口2" "121.551694" "25.041632"
"216" "松山站出口3" "121.551586" "25.04134"
"217" "松山站出口4" "121.550567" "25.04135"
"218" "松山站出口5" "121.549824" "25.041238"
"219" "台北101/世貿站出口1" "121.549174" "25.041029"
"220" "台北101/世貿站出口2" "121.549913" "25.041661"
"221" "台北101/世貿站出口3" "121.549194" "25.041928"
"222" "台北101/世貿站出口4" "121.556663" "25.041838"
"223" "台北101/世貿站出口5" "121.556704" "25.041029"
"224" "台北車站M1" "121.557981" "25.041195"
"225" "台北車站M2" "121.558539" "25.04117"
"226" "台北車站M3" "121.558002" "25.041501"
"227" "台北車站M4" "121.565459" "25.041408"
"228" "台北車站M5" "121.565062" "25.040971"
"229" "台北車站M6" "121.567149" "25.040903"
