section,address,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath,id
2015Q1,臺北市中正區忠孝東路一段31~60號,25.0445321,121.5255064,688.041832943443,5e4,1,72.67,0,0,1,0,12,2014-10-31,2007-05-11,12,14,10,-1,TRUE,TRUE,TRUE,2,2,1,50
2015Q1,臺北市大同區酒泉街10巷1~30號,25.0704996,121.5198081,286.1685214626391,45e3,2,157.25,0,0,1,0,3,2014-10-31,2012-04-03,5,10,6,1,TRUE,TRUE,TRUE,3,2,2,51
2015Q1,臺北市萬華區中華路一段61~90號,25.0467143,121.5094059,425.9850905218317,8e3,1,18.78,0,0,1,0,8,2014-10-15,NA,9,12,10,2,TRUE,FALSE,TRUE,1,0,1,52
2015Q1,臺北市大同區市民大道一段181~210號,25.048493,121.5187377,692.8406466512702,63e3,1,90.93,0,0,1,0,3,2014-10-27,2009-07-24,17,18,10,1,TRUE,TRUE,TRUE,2,1,1,53
2015Q1,臺北市中正區信義路二段151~180號,25.03411,121.528614,459.3242829437583,9e4,2,195.94,0,0,1,0,12,2014-10-10,2010-08-18,5,14,10,1,TRUE,TRUE,TRUE,3,2,2,54
2015Q1,臺北市北投區榮華三路1~30號,25.112843,121.52523,409.41658137154553,8e4,2,195.4,0,0,1,0,1,2014-10-28,2007-05-21,5,15,10,1,TRUE,TRUE,TRUE,4,2,2,55
2015Q1,臺北市士林區士東路200巷31~60號,25.111463,121.5338091,549.7293640054128,65e3,2,118.24,118.24,0,1,0,6,2014-10-28,2010-10-25,3,7,6,1,TRUE,TRUE,TRUE,3,2,2,56
2015Q1,臺北市文山區景興路211~240號,24.9916274,121.5440059,267.71475172163827,29545,2,110.36,0,0,1,0,9,2014-10-29,1989-06-24,6,10,6,1,TRUE,TRUE,TRUE,3,2,2,57
2015Q1,臺北市大安區信義路三段147巷17弄1~30號,25.0357959,121.5421071,399.85459832788075,55e3,3,137.55,19.9,1,1,0,2,2014-11-01,NA,4,5,5,-1,TRUE,FALSE,TRUE,3,2,3,58
2015Q1,臺北市大安區敦化南路二段151~180號,25.0269435,121.548989,346.2204270051933,78e3,0,225.29,0,0,1,0,2,2014-10-06,1989-10-14,1,21,1,1,FALSE,TRUE,FALSE,0,0,0,59
2015Q1,臺北市大安區光復南路301~330號,25.0385268,121.5569442,478.0074191838898,90200,3,188.7,0,0,1,0,2,2014-10-27,2004-07-23,5,7,6,1,TRUE,TRUE,FALSE,3,3,3,60
2015Q1,臺北市大安區忠孝東路四段301~330號,25.041621,121.555208,534.2683028633442,64e3,2,119.79,0,0,1,0,2,2014-10-22,NA,5,12,10,1,TRUE,TRUE,FALSE,1,1,2,61
2015Q1,臺北市大安區仁愛路四段91~120號,25.0380363,121.5478476,462.2602456188768,67e3,2,144.94,0,0,1,0,2,2014-10-10,NA,3,15,10,1,TRUE,TRUE,TRUE,2,2,2,62
2015Q1,臺北市大安區光復南路308巷31~60號,25.038834,121.556207,398.2981805014936,44e3,2,110.47,0,0,1,0,2,2014-10-22,NA,5,7,6,1,TRUE,FALSE,TRUE,3,2,2,63
2015Q1,臺北市大安區信義路三段151~180號,25.0336459,121.5422289,1367.5774732638604,1e6,0,731.22,0,0,1,4,2,2014-09-30,2001-06-01,-1,11,1,2,FALSE,TRUE,FALSE,0,0,0,64
2015Q1,臺北市大安區忠孝東路四段271~300號,25.0416734,121.5539807,514.2486735649293,428400,2,833.06,0,0,1,0,2,2014-10-22,NA,8,14,1,1,TRUE,TRUE,TRUE,6,2,2,65
2015Q1,臺北市大安區和平東路一段121~150號,25.0268871,121.5273208,470.5574799032743,72e3,2,153.01,0,0,1,0,2,2014-10-24,1999-11-26,12,16,10,1,TRUE,TRUE,TRUE,3,2,2,66
2015Q1,臺北市大安區敦化南路一段233巷31~60號,25.0404986,121.5509907,466.02430883556883,74e3,2,158.79000000000005,0,0,1,0,2,2014-10-20,1987-07-09,3,10,6,1,TRUE,TRUE,TRUE,4,2,2,67
2015Q1,臺北市大安區光復南路301~330號,25.0385268,121.5569442,478.0074191838898,90200,3,188.7,0,0,1,0,2,2014-10-22,2004-07-23,5,7,6,1,TRUE,TRUE,FALSE,3,3,3,68
