"Id" "Image" "Name" "Area" "Location" "Type" "BuildYear" "UnitName" "UnitPhone" "Url" "Latitude" "Longitude"
"56" "88c26f17-2f59-4468-802a-5cd9c1bc904a" NA "稻中公園" "臺北市北投區" "中央北路二段334號旁(政校後勤區)" "都會廣場" "101" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/88c26f17-2f59-4468-802a-5cd9c1bc904a" 25.13863 121.489281
"57" "9d74084a-366b-405a-9181-5dc52d0ee03e" NA "238號 中央簡易公園" "臺北市北投區" "大興街與中央南路二段6巷口" "運動公園、都會廣場" "85" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/9d74084a-366b-405a-9181-5dc52d0ee03e" 25.1281 121.499924
"58" "6008d8af-f06f-4c9d-8744-2a9de9a480b3" NA "新興公園" "臺北市北投區" "新興路145號旁(六期重劃)" "都會廣場" "91" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/6008d8af-f06f-4c9d-8744-2a9de9a480b3" 25.13967 121.485786
"59" "f2f57c2d-5c65-4ce0-a083-2cb060628871" NA "長安公園" "臺北市北投區" "育仁路109號對面(薇閣國小旁)" "都會廣場" "72" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/f2f57c2d-5c65-4ce0-a083-2cb060628871" 25.13556 121.50016
"60" "38ff6085-d15f-49c8-9962-c100f99a303e" NA "建民公園" "臺北市北投區" "文林北路16巷7號對面" "都會廣場" "74" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/38ff6085-d15f-49c8-9962-c100f99a303e" 25.10564 121.520363
"61" "e0ad7e76-4345-44a3-8e79-0775f3be1560" NA "林泉公園" "臺北市北投區" "溫泉路168號旁" "親山公園" "87" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/e0ad7e76-4345-44a3-8e79-0775f3be1560" 25.13951 121.51265
"62" "420708b6-5457-47fe-8b40-a89fc30c5c77" NA "開明公園" "臺北市北投區" "珠海路112號附近" "自然公園" "82" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/420708b6-5457-47fe-8b40-a89fc30c5c77" 25.14113 121.505318
"63" "d649a011-1ab2-4ade-aa70-5647884a1e34" NA "奇岩三號公園" "臺北市北投區" "奇岩新社區(公四)" "都會廣場" "102" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/d649a011-1ab2-4ade-aa70-5647884a1e34" 25.12598 121.505219
"64" "719b6add-4f45-493c-8820-ac41e0e62082" NA "丹鳳公園" "臺北市北投區" "公館路255巷19弄旁" "都會廣場" "82" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/719b6add-4f45-493c-8820-ac41e0e62082" 25.12648 121.510979
"65" "4d29a628-0756-40e5-a747-4e8d5270ae32" NA "磺港公園" "臺北市北投區" "磺港路大興街交口" "都會廣場" "82" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/4d29a628-0756-40e5-a747-4e8d5270ae32" 25.13067 121.504066
"66" "9c31af3e-3589-4ecd-ba56-d40562231071" NA "觀海公園" "臺北市北投區" "中央北路4段601巷附近" "自然公園、都會廣場" "88" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/9c31af3e-3589-4ecd-ba56-d40562231071" 25.12358 121.463448
"67" "e090d595-e521-4527-8699-58a7eeb5e9ef" NA "公館公園" "臺北市北投區" "奇岩新社區(公三)" "自然公園、都會廣場" "102" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/e090d595-e521-4527-8699-58a7eeb5e9ef" 25.12799 121.506432
"68" "fc155ec8-55f6-4221-9195-f2faf95709b7" NA "榮富公園" "臺北市北投區" "榮華三路及磺溪旁(過天母橋)" "都會廣場" "88" "陽明山公園管理所" "02-28832130" "/Web/Park/Detail/fc155ec8-55f6-4221-9195-f2faf95709b7" 25.11423 121.524727
"69" "1debe787-f4d0-437d-ab1e-84ccca399a8d" NA "北投88號綠地" "臺北市北投區" "立農街202巷9弄(石牌綠帶系統)" "綠地" "94" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/1debe787-f4d0-437d-ab1e-84ccca399a8d" 25.11763 121.514442
"70" "1a124374-6e81-4f89-91cc-6ab305dbd431" NA "北投66號綠地" "臺北市北投區" "公館路327巷旁" "綠地" "75" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/1a124374-6e81-4f89-91cc-6ab305dbd431" 25.12374 121.50296
"71" "beb0144b-21cb-4bfe-8134-50765dc1029e" NA "北投65號綠地" "臺北市北投區" "公館路357巷旁" "綠地" "75" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/beb0144b-21cb-4bfe-8134-50765dc1029e" 25.12469 121.503052
"72" "442204ff-9c0f-4344-8706-18eda5aa5350" NA "北投64號綠地" "臺北市北投區" "三合街二段409號號旁" "綠地" "72" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/442204ff-9c0f-4344-8706-18eda5aa5350" 25.12593 121.503227
"73" "48f7bc5d-4088-404e-bfad-cd5abcc5702d" NA "北投63號綠地" "臺北市北投區" "三合街40巷起至三合街旁" "綠地" "72" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/48f7bc5d-4088-404e-bfad-cd5abcc5702d" 25.12759 121.503342
"74" "42264fba-d475-494e-be20-03e3c8e3d491" NA "北投62號綠地" "臺北市北投區" "三合街40巷29號旁" "綠地" "72" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/42264fba-d475-494e-be20-03e3c8e3d491" 25.12855 121.503258
"75" "e151a23d-9460-4b46-a54f-e8bd764ade13" NA "安民綠地" "臺北市北投區" "光明路157巷2弄1號(七虎公園旁)" "綠地" "88" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/e151a23d-9460-4b46-a54f-e8bd764ade13" 25.13673 121.502411
"76" "ec42d13c-42b9-4e8f-a09b-8884e97c4d3f" NA "北投39號綠地" "臺北市北投區" "聖景路92號內" "綠地" "81捐" "園藝工程隊北區分隊" "02-28805456" "/Web/Park/Detail/ec42d13c-42b9-4e8f-a09b-8884e97c4d3f" 25.12299 121.463387
